City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,50.11,50,0,11.5,clear sky
1,Bloemfontein,ZA,-29.1211,26.214,81.88,34,20,6.91,few clouds
2,Aden,YE,12.7794,45.0367,78.1,55,20,4.0,few clouds
3,Kapaa,US,22.0752,-159.319,66.18,94,0,5.75,clear sky
4,Haines Junction,CA,60.7522,-137.5108,-0.45,78,100,1.14,overcast clouds
5,Bengkulu,ID,-3.8004,102.2655,73.56,97,100,7.45,light rain
6,Zavyalovo,RU,54.5053,82.4484,13.24,89,99,10.87,overcast clouds
7,Oranjemund,NA,-28.55,16.4333,66.49,73,9,20.76,clear sky
8,Albany,US,42.6001,-73.9662,27.68,86,100,1.99,overcast clouds
9,Kodiak,US,57.79,-152.4072,33.31,80,0,5.75,clear sky
10,Cape Town,ZA,-33.9258,18.4232,72.1,49,0,5.99,clear sky
11,Weligama,LK,5.9667,80.4167,74.46,79,41,3.67,scattered clouds
12,San Miguel,SV,13.4833,-88.1833,85.66,53,0,2.3,clear sky
13,Mataura,NZ,-46.1927,168.8643,48.47,98,100,2.15,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,13.8,light rain
15,Bac Lieu,VN,9.285,105.7244,78.35,76,98,21.63,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,78.22,71,87,9.57,light rain
17,Helong,CN,42.5397,128.9972,1.99,81,22,8.16,few clouds
18,San Jose,US,37.3394,-121.895,54.25,61,20,3.44,few clouds
19,Noumea,NC,-22.2763,166.4572,75.18,84,100,2.33,overcast clouds
20,Faya,SA,18.3851,42.4509,60.91,81,35,7.0,scattered clouds
21,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,100,3.44,light rain
22,Butaritari,KI,3.0707,172.7902,82.09,75,11,17.85,light rain
23,Iqaluit,CA,63.7506,-68.5145,-13.27,53,100,10.36,light snow
24,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,20,11.5,few clouds
25,Slochteren,NL,53.2208,6.8055,39.18,93,100,9.22,light rain
26,Samarai,PG,-10.6167,150.6667,81.03,81,96,8.84,overcast clouds
27,Souillac,MU,-20.5167,57.5167,80.37,94,75,13.8,light rain
28,Port Lincoln,AU,-34.7333,135.8667,63.34,81,61,15.9,broken clouds
29,Les Cayes,HT,18.2,-73.75,84.65,55,39,4.18,scattered clouds
30,Lafiagi,NG,8.8667,5.4167,95.45,10,10,3.42,clear sky
31,Sobolevo,RU,54.4299,31.8996,3.38,100,72,2.82,broken clouds
32,Constitucion,CL,-35.3333,-72.4167,68.92,69,12,10.13,few clouds
33,Nizhniy Chir,RU,48.3597,43.0865,28.24,91,100,9.17,overcast clouds
34,Taguatinga,BR,-12.3857,-46.5711,88.21,54,40,4.56,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,51.42,50,0,18.41,clear sky
36,Busselton,AU,-33.65,115.3333,72.09,67,0,5.41,clear sky
37,Miraflores,MX,19.2167,-98.8083,64.87,34,0,5.57,clear sky
38,Adrar,MR,20.5022,-10.0711,81.88,7,9,9.08,clear sky
39,Tateyama,JP,34.9833,139.8667,48.13,43,20,28.77,few clouds
40,Boende,CD,-0.2167,20.8667,83.79,37,81,2.3,broken clouds
41,Hilo,US,19.7297,-155.09,68.11,74,40,9.22,scattered clouds
42,Lebu,CL,-37.6167,-73.65,64.87,76,10,16.44,clear sky
43,Rota,ES,36.6224,-6.3586,59.13,58,0,8.05,light rain
44,Cardston,CA,49.2,-113.3019,37.26,69,90,20.31,overcast clouds
